braidplain,index,rgi_id,noLake,sumLossPx,sumGainPx,netGainPx,totalChangepx,nWaterPx,normLossWater,normGainWater,normNetWater,normChangeWater,nTotalPx,normLossTotal,normGainTotal,normNetTotal,normChangeTotal,h-avg braids,h-avg total width (m),h-avg width braid (m),h-avg width 1km (m),h-avg width 2.5 km (m),h-avg width 5 km (m),h-avg width 10 km (m),h-avg width 15 km (m),h-avg width 20 km (m),h-avg width 25 km (m),h-avg width 30 km (m),h-avg width 35 km (m),c-avg braids,c-avg total width (m),c-avg width braid (m),c-avg width 1km (m),c-avg width 2.5 km (m),c-avg width 5 km (m),c-avg width 10 km (m),c-avg width 15 km (m),c-avg width 20 km (m),c-avg width 25 km (m),c-avg width 30 km (m),c-avg width 35 km (m),braid change,total width change (m),braid width change (m),slope,y-int,lat,lon,area_km2,length_km,zMin_m,zMax_m,dh_last_m,dh_err_last_m,retreat_m,h-avg sum braid (km),c-avg sum braid (km),h-sum brd norm active channel,c-sum brd norm active channel,d-avg sum braid,d-sum brd norm active channel
2,1,RGI60-01.00013,0,4023,5909,1886,9932,7338,0.548242028,0.805260289,0.257018261,1.353502317,59351.58279,0.067782523,0.099559266,0.031776743,0.167341788,3,890.2572,70.8029,74.3365,78.595,67.617,62.324,71.142,0,0,0,0,2.8,629.8214,102.8625333,136.5883333,89.96733333,80.184,124.69,0,0,0,0,102.8625333,-0.2,-260.4358,32.05963333,-0.002261917,807.4362104,63.49932861,-146.684082,209.63,39.197,823,4003,-14.296,1.136,618.866,0.218,0.280,0.245,0.444,0.0612606,0.198652657
3,2,RGI60-01.01731,0,634,560,-74,1194,994,0.637826962,0.563380282,-0.07444668,1.201207243,17366.2455,0.036507603,0.032246463,-0.00426114,0.068754067,2,798.516,89.2465,89.2465,0,0,0,0,0,0,0,0,2,887.621,47.886,47.886,0,0,0,0,0,0,0,47.886,0,89.105,-41.3605,-0.005998932,133.0503974,60.99928665,-145.3062592,167.667,26.066,139,2175,-20.996,1.119,1675.503,0.178,0.096,0.224,0.108,-0.082721,-0.115633498
4,3,RGI60-01.01733,0,1315,375,-940,1690,3270,0.402140673,0.114678899,-0.287461774,0.516819572,21021.9448,0.06255368,0.017838502,-0.044715178,0.080392181,3.5,856.7675,94.28325,74.009,114.5575,0,0,0,0,0,0,0,2,147.382,56.94966667,36.136,77.76333333,0,0,0,0,0,0,56.94966667,-1.5,-709.3855,-37.33358333,-0.010786204,110.2988819,60.888,-145.141,119.101,25.282,110,2235,-23.097,1.107,2644.55,0.381,0.135,0.444,0.914,-0.245964,0.469721966
7,6,RGI60-01.14613,0,790,226,-564,1016,1212,0.651815182,0.186468647,-0.465346535,0.838283828,5872.191224,0.134532404,0.038486485,-0.096045919,0.173018889,3,250.8315,112.0297,157.232,66.8274,0,0,0,0,0,0,0,2,240.6915,61.4315,73.594,49.269,0,0,0,0,0,0,61.4315,-1,-10.14,-50.5982,-0.00461983,73.53865333,59.498,-138.21,100.721,26.691,150,1767,-31.421,1.142,2783.643,0.246,0.111,0.979,0.460,-0.134984,-0.51955333
8,7,RGI60-01.01520,0,2158,973,-1185,3131,4510,0.478492239,0.215742794,-0.262749446,0.694235033,36947.57041,0.058407088,0.026334614,-0.032072474,0.084741702,4.333333333,627.427,64.02461111,64.18133333,54.5715,73.321,0,0,0,0,0,0,1.666666667,133.301,70.959,64.717,70.995,77.165,0,0,0,0,0,70.959,-2.666666667,-494.126,6.934388889,-0.007181652,81.53852656,59.00295258,-134.4601746,192.91,33.12,84,2287,-29.565,1.001,3901.47,0.284,0.120,0.452,0.903,-0.163239667,0.450830033
9,8,RGI60-01.02689,0,1181,1592,411,2773,2355,0.5014862,0.676008493,0.174522293,1.177494692,46658.88033,0.025311366,0.034119979,0.008808613,0.059431345,2.75,207.86275,54.98741667,56.958,51.451,59.04866667,52.492,0,0,0,0,0,1.5,177.53825,106.7298333,75.378,77.866,71.71233333,0,0,0,0,0,106.7298333,-1.25,-30.3245,51.74241667,-0.006325004,128.9510064,58.33078003,-133.3184357,24.396,10.186,200,2108,-30.476,1.661,3535.299,0.151,0.143,0.725,0.803,-0.00813675,0.078021268
10,9,RGI60-01.04532,0,2479,3783,1304,6262,5984,0.41427139,0.632185829,0.217914439,1.046457219,109320.6636,0.022676408,0.03460462,0.011928212,0.057281028,1.75,151.261,75.44083333,63.367,77.874,92.523,67.99933333,0,0,0,0,0,2.25,279.67275,91.24075,84.667,84.4505,84.221,0,0,0,0,0,91.24075,0.5,128.41175,15.79991667,-0.004120088,96.43487182,56.932,-131.308,103.945,24.149,100,2343,-14.076,1.206,5065.4,0.125,0.204,0.828,0.728,0.0782545,-0.100484618
11,10,RGI60-01.26721,0,2065,3099,1034,5164,6640,0.310993976,0.466716867,0.155722892,0.777710843,45459.39341,0.045425155,0.068170729,0.022745574,0.113595884,2.666666667,871.8533333,94.34925,124.52,79.077,79.45075,0,0,0,0,0,0,2.333333333,250.9976667,88.98875,115.4545,85.371,66.14075,0,0,0,0,0,88.98875,-0.333333333,-620.8556667,-5.3605,-0.009058618,660.0984537,61.73991394,-142.8397675,96.982,30.488,647,4156,-16.571,1.113,2901.51,0.227,0.194,0.260,0.771,-0.032903667,0.511566969
12,11,RGI60-01.00312,0,6861,9097,2236,15958,15021,0.456760535,0.6056188,0.148858265,1.062379336,177497.223,0.038654126,0.051251506,0.01259738,0.089905632,3.75,1125.58875,86.2151625,88.01075,66.6775,99.4374,90.735,0,0,0,0,0,3.5,1174.2535,69.61027917,73.46166667,50.2802,76.893,0,0,0,0,0,69.61027917,-0.25,48.66475,-16.60488333,-0.008549249,1045.492385,63.249,-145.193,90.948,23.553,1062,2973,-19.362,1.139,1625.104,0.336,0.234,0.299,0.199,-0.102182,-0.099403936
13,12,RGI60-01.16545,0,300,1364,1064,1664,8804,0.03407542,0.154929577,0.120854157,0.189004998,73678.97678,0.004071718,0.018512744,0.014441026,0.022584461,1.25,183.503,118.91175,129.121,103.934,121.065,121.527,0,0,0,0,0,2,375.395,123.28225,150.796,111.3535,130.6035,0,0,0,0,0,123.28225,0.75,191.892,4.3705,-0.000493934,476.8223257,60.283,-138.645,582.83,66.222,475,4124,-21.986,0.786,4517.649,0.149,0.247,0.813,0.657,0.0973865,-0.156132348
